,tweet_id,text,link,created_at,timestamp_ms,user_id,user_name,user_screen_name,user_location,geo,coordinates,place_full_name,place_country,retweeted_status_id,in_reply_to_status_id,sarcasm_value,processed_tweets,polarity_scores,compounded,neutral,positive,negative,candidate
73,1.31708e+18,"RT @MasterWuggles: Screw this, I wanna see his Pokemon team.",https://twitter.com/SeanTBD/status/1317079916131876865,16/10/2020 12:28,1602850000000.0,9.45321e+17,Sean (but spoopy ヾ(≧▽≦*)o),SeanTBD,"Missouri, USA",,,,,1.31699e+18,,-26,RT Screw I wan na see Pokemon team,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.811,0.0,0.189,Biden
74,1.31708e+18,"RT @marklevinshow: Savannah Guthrie, another rude, obnoxious, media hack
https://t.co/So83lY0Q9z",https://twitter.com/qanonfollower3/status/1317079916203134978,16/10/2020 12:28,1602850000000.0,1.25968e+18,qanonfollower,qanonfollower3,"Michigan, USA",,,,,1.31693e+18,,29,RT Savannah Guthrie another rude obnoxious media hackhttpstco So83lY0Q9z,"{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.7184}",-0.7184,0.538,0.0,0.462,Biden
81,1.31708e+18,RT @laxman_xy: Lovely biz model. https://t.co/5p2Z6cAITT,https://twitter.com/laxman_xy/status/1317079920149889024,16/10/2020 12:28,1602850000000.0,7.4641e+17,Laxman☺☮,laxman_xy,India,,,,,1.31707e+18,,14,RT Lovely biz model httpstco5p2Z6cAITT,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.5859,0.513,0.487,0.0,Biden
82,1.31708e+18,RT @Timcast: People whose only experience with guns comes from action movies should not be proposing gun legislation,https://twitter.com/AndrewCalder_13/status/1317079920003084289,16/10/2020 12:28,1602850000000.0,256765647.0,Andrew Calder,AndrewCalder_13,,,,,,1.31708e+18,,-35,RT People whose experience guns comes action movies proposing gun legislation,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",-0.34,0.806,0.0,0.194,Biden
83,1.31708e+18,#CrookedJoeBiden,https://twitter.com/marinepoker68/status/1317079920011628544,16/10/2020 12:28,1602850000000.0,529372391.0,Vitelio Orantes,marinepoker68,,,,,,,,-16,Crooked Joe Biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
88,1.31708e+18,@FabioQanon @HeWillBeWithUs https://t.co/mX8ZL5yP47,https://twitter.com/EricBonillo/status/1317079919663435777,16/10/2020 12:28,1602850000000.0,194907173.0,Eric Bonillo 🇺🇸,EricBonillo,USA ,,,"Miami, FL",United States,,1.31693e+18,-9,httpstcomX8ZL5yP47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
90,1.31708e+18,RT @reubing: Are we allowed to speak the truth today about Joe Biden's corruption or is it just another normal day on Twitter?,https://twitter.com/rojobin2/status/1317079920577814531,16/10/2020 12:28,1602850000000.0,1.17656e+18,rojobin,rojobin2,,,,,,1.31706e+18,,-53,RT Are allowed speak truth today Joe Bidens corruption another normal day Twitter,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",0.3182,0.839,0.161,0.0,Biden
91,1.31708e+18,Who else is ready for this year to be over!,https://twitter.com/selleait/status/1317079920372293634,16/10/2020 12:28,1602850000000.0,1.19964e+18,DSelleait,selleait,,,,"Shreveport, LA",United States,,,-37,Who else ready year,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,0.545,0.455,0.0,Biden
97,1.31708e+18,RT @gtconway3d: Idiot.  He's literally a dunce.,https://twitter.com/Rita08538521/status/1317079920795844610,16/10/2020 12:28,1602850000000.0,1.24428e+18,Rita,Rita08538521,,,,,,1.31708e+18,,-35,RT Idiot Hes literally dunce,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.548,0.0,0.452,Biden
98,1.31708e+18,"RT @CharlotteAlter: After every question Biden looks at the person asking it and says ""I hope I answered your question"" #BidenTownHall",https://twitter.com/gatormason/status/1317079920821108736,16/10/2020 12:28,1602850000000.0,20443412.0,Tom Mason,gatormason,Gator Country,,,,,1.3169e+18,,18,RT After every question Biden looks person asking says I hope I answered question Biden Town Hall,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,0.828,0.172,0.0,Biden
99,1.31708e+18,"RT @marklevinshow: The sickening media
https://t.co/s0MhlWdYbT",https://twitter.com/Qoe1Sondra/status/1317079924080103424,16/10/2020 12:28,1602850000000.0,1.20205e+18,SondraQOE1,Qoe1Sondra,"Texas, USA",,,,,1.31707e+18,,22,RT The sickening mediahttpstcos0 Mhl Wd YbT,"{'neg': 0.281, 'neu': 0.413, 'pos': 0.306, 'compound': 0.0772}",0.0772,0.413,0.306,0.281,Biden
100,1.31708e+18,RT @Blessamericagod: @FBI was sitting on #WheresHunterBiden laptop https://t.co/oFlMltIDPo,https://twitter.com/Kaboom1776/status/1317079923949998083,16/10/2020 12:28,1602850000000.0,2163314342.0,Horst von Horstmann,Kaboom1776,"Lugano, Switzerland",,,,,1.31692e+18,,-25,RT sitting Wheres Hunter Biden laptop httpstcoo Fl MltID Po,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5574}",-0.5574,0.714,0.0,0.286,Biden
103,1.31708e+18,@Jetwasp snapchat!,https://twitter.com/purrkittykat/status/1317079924633718785,16/10/2020 12:28,1602850000000.0,25477239.0,cabrona,purrkittykat,"Inglewood || Whittier, CA",,,"Whittier, CA",United States,,1.31703e+18,-23,snapchat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
104,1.31708e+18,@JoeBiden https://t.co/k8RTS0qKLK,https://twitter.com/Streetballer09/status/1317079923706691584,16/10/2020 12:28,1602850000000.0,53921288.0,Drew,Streetballer09,,,,,,,1.31651e+18,-10,httpstcok8RTS0qKLK,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
106,1.31708e+18,"RT @JeffreyGoldberg: Looking forward to the Onion story about this tweet:
https://t.co/PphsWgNIQQ",https://twitter.com/Joesomethingor1/status/1317079924923011074,16/10/2020 12:28,1602850000000.0,1.16875e+18,Joesomethingoranother,Joesomethingor1,,,,,,1.31705e+18,,-5,RT Looking forward Onion story tweethttpstco Pphs WgNIQQ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
110,1.31708e+18,"RT @marklevinshow: Savannah Guthrie, another rude, obnoxious, media hack
https://t.co/So83lY0Q9z",https://twitter.com/pamwoitas749/status/1317079925367754752,16/10/2020 12:28,1602850000000.0,4119215597.0,pam woitas,pamwoitas749,,,,,,1.31693e+18,,29,RT Savannah Guthrie another rude obnoxious media hackhttpstco So83lY0Q9z,"{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.7184}",-0.7184,0.538,0.0,0.462,Biden
111,1.31708e+18,See how long it takes Twitter to shut this link down,https://twitter.com/FishDogBrewHog/status/1317079928047808513,16/10/2020 12:28,1602850000000.0,1.17331e+18,Cliff Mitchell,FishDogBrewHog,Redblood in a Blue State.,,,,,,,-54,See long takes Twitter shut link,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
118,1.31708e+18,RT @benshapiro: Congratulations to Savannah Guthrie on her appointment as Joe Biden's White House press secretary!,https://twitter.com/laboombam/status/1317079928710549505,16/10/2020 12:28,1602850000000.0,17840670.0,ADK LOVER,laboombam,,,,,,1.31692e+18,,-71,RT Congratulations Savannah Guthrie appointment Joe Bidens White House press secretary,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5994}",0.5994,0.719,0.281,0.0,Biden
